ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
48,CHOA CHU KANG NORTH,5475,5897,3068,3251,0,0,0,0,0.07795791683581778,0.9648545227392595,0.058711528428288653,0.046287933023429484
49,CHONG BOON,14278,14023,8195,8377,1,1,1,1,0.3034982242664554,0.5781262935458834,0.2360652022566698,0.5747983814856282
50,CITY HALL,14278,14023,8195,8377,1,1,1,1,0.7079213510275508,0.7682793928719437,0.5835900533101313,0.6911291902646104
51,CITY TERMINALS,10590,8907,5760,4649,0,0,0,0,0.5915231128071338,0.6311358299739052,0.568054779595911,0.7965503759265286
52,CLARKE QUAY,13435,14023,8112,8377,1,1,1,1,0.7532942618055728,0.8109495912127732,0.8914469729154482,0.7376295980038794
53,CLEMENTI CENTRAL,14278,14023,8195,8377,1,1,1,1,0.6974555610479402,0.9325489423162163,0.7874760694397464,0.9363580419504892
54,CLEMENTI NORTH,14278,14023,8195,8377,1,1,1,1,0.7578088180357571,0.5422397957746821,0.7244118698288923,0.7209727311554371
55,CLEMENTI WEST,13643,10296,8112,6144,1,0,1,0,0.38756511705435875,0.4511866056912411,0.4061250118532226,0.6084219055563086
56,CLEMENTI WOODS,14278,14023,8195,7874,1,1,1,1,0.36266633899607126,0.5922595660314813,0.5411754769991144,0.8600162786744723
57,CLIFFORD PIER,11749,11186,5012,5534,0,0,0,0,0.7344122827723365,0.5235899894331554,0.8107467762298061,0.6261881935051924
58,COMMONWEALTH,12981,14023,7591,8136,1,1,0,1,0.8964468534072207,0.5979354797363907,0.9959482142262324,0.532151694547002
59,COMPASSVALE,14278,14023,8195,8377,1,1,1,1,0.1906106847117841,0.3220393430630721,0.17492155466049272,0.3513361683540518
60,CORONATION ROAD,12981,14023,7591,7726,1,1,0,1,0.8800316942427084,0.5207742611899528,0.9952631308459254,0.5269616942775276
61,CRAWFORD,14278,14023,8195,8377,1,1,1,1,0.6411757809735993,0.5620917443767631,0.48050593785741064,0.5597050842676836
62,DAIRY FARM,12565,12581,6977,6816,0,0,0,0,0.2540207670601307,0.8308738819458042,0.7269586385489707,0.8453198926171128
63,DEFU INDUSTRIAL PARK,10231,10494,5418,6001,0,0,0,0,0.3525688814318616,0.2514219501059771,0.28318198577365017,0.3332397984153329
64,DEPOT ROAD,8751,8491,4648,4649,0,0,0,0,0.8787071801640574,0.4323238498547682,0.8890916191958055,0.43403521342246715
65,DHOBY GHAUT,14278,14023,8195,8377,1,1,1,1,0.7422648435494692,0.7316495352627659,0.7475881359776215,0.681195546154278
66,DOVER,14278,13747,8112,7723,1,1,1,1,0.3999041640520213,0.27871692375695045,0.7706856733403719,0.37275762989685685
67,DUNEARN,10321,13524,6144,7661,0,1,0,1,0.9464053394273331,0.4817355740032363,0.9807302378343153,0.5330614004619573
68,EVERTON PARK,14278,13524,8195,7726,1,1,1,1,0.509091047735359,0.6075229610233764,0.6164890134591643,0.5782983969220781
69,FABER,10077,10656,5267,5759,0,0,0,0,0.33429677450126866,0.581835454638444,0.3987878589576556,0.5189671711997865
70,FAJAR,13642,13907,8112,8136,1,1,1,1,0.32933852388050705,0.15804225255410786,0.2599218310025901,0.3029715210139983
71,FARRER COURT,12114,11801,6823,6817,0,0,0,0,0.8560990288552314,0.7224514651700981,0.9756569486766111,0.7712396561435014
72,FARRER PARK,14278,14023,8195,8377,1,1,1,1,0.744310168979835,0.31816257642008,0.8035629286097452,0.48715569815781773
73,FERNVALE,14278,14023,8195,8377,1,1,1,1,0.8336268194515596,0.5383541880847228,0.8027821695346841,0.5114328162599675
74,FLORA DRIVE,11142,11240,6079,6362,0,0,0,0,0.4238178405649056,0.46581457171233054,0.4960721635681345,0.41817133486012853
75,FORT CANNING,7950,8751,4745,5786,0,0,0,0,0.9937712344204125,0.6093229432162417,0.9973963694400576,0.5907855125105365
76,FRANKEL,14278,14023,8195,8377,1,1,1,1,0.41935419323987994,0.4086847205816497,0.42198352195239464,0.3662341258503124
77,GALI BATU,10890,10096,7193,7080,0,0,0,0,0.7842987316191254,0.976857779649387,0.8244274350280577,0.8733645778894309
78,GEYLANG BAHRU,14278,14023,8195,8377,1,1,1,1,0.4887955009072041,0.40577329539714513,0.39796998463967787,0.4291204565467832
79,GEYLANG EAST,14278,14023,8195,8377,1,1,1,1,0.34881119429124074,0.3461172244390461,0.36261266922289176,0.29615163941002587
80,GHIM MOH,9575,11186,5623,6656,0,0,0,0,0.5911564387429927,0.585903946391484,0.9002512860133685,0.46925085716347853
81,GOMBAK,13874,13524,8112,7874,1,1,1,1,0.5773960866809135,0.974659248136418,0.7785701368376469,0.9987323042873288
82,GOODWOOD PARK,7598,5988,4008,3384,0,0,0,0,0.5831026626347265,0.36269563936259347,0.5414962196528138,0.30745852083055075
83,GREENWOOD PARK,4242,4033,1290,2179,0,0,0,0,0.08678659373856254,0.7348032088125622,0.7178692442820334,0.499585231761979
84,GUILIN,13642,13524,8112,7782,1,1,1,1,0.9651151907421628,0.9499561186519718,0.9481409254254973,0.9179706169052525
85,GUL BASIN,1529,992,704,582,0,0,0,0,0.0,0.0,0.0,0.0
86,GUL CIRCLE,10096,11320,5216,6144,0,0,0,0,0.4201751290214329,0.26774410580110036,0.43859695040727564,0.27802540026817146
87,HENDERSON HILL,14278,14023,8195,8136,1,1,1,1,0.650864941007812,0.31315361000773106,0.7380906777403462,0.2955583721834425
88,HILLCREST,8505,10600,4228,5759,0,0,0,0,0.9998679574266394,0.6657351416836979,0.9967908618786542,0.7322575546686796
89,HILLVIEW,12981,13524,7591,7712,1,1,0,1,0.7855852118754094,0.7816701112794631,0.8196936002175955,0.6760848277173568
90,HOLLAND DRIVE,12981,13524,7591,7782,1,1,0,1,0.8304059170260619,0.42513426045546754,0.985314295993084,0.4793002931264152
91,HOLLAND ROAD,14278,14023,8112,8136,1,1,1,1,0.7672617276333255,0.47247119010423283,0.9942915605467789,0.566765627111148
92,HONG KAH,14278,14023,8195,8377,1,1,1,1,0.42303722173619196,0.4526483077538186,0.36859493542646143,0.37643067853601353
93,HONG KAH NORTH,12052,12942,6835,7425,0,0,0,0,0.6666501966196329,0.663182687643595,0.6318022323723741,0.6453003283265555
94,HOUGANG CENTRAL,14278,14023,8195,8377,1,1,1,1,0.29526621468929304,0.3703784355243186,0.24330532489818327,0.3668442906500118
95,HOUGANG EAST,14278,14023,8195,8377,1,1,1,1,0.1298944125192759,0.1564470949270061,0.11309783545618321,0.1482807365052496
96,HOUGANG WEST,14278,14023,8195,8377,1,1,1,1,0.30547256177420995,0.27455178741370245,0.2587543007463821,0.23851294113724794
97,INSTITUTION HILL,4799,4456,2996,2734,0,0,0,0,0.7298238708862422,0.5549013068757445,0.6215657269653581,0.6165895757256986
98,INTERNATIONAL BUSINESS PARK,7288,8099,2713,3328,0,0,0,0,0.39795990913385776,0.6558251878652609,0.4017586056781335,0.6679746429847129
99,ISTANA NEGARA,1796,1961,869,924,0,0,0,0,0.9408524052508438,0.5491208956605855,0.6735520973080596,0.5676016097644645
100,JELEBU,14278,14023,8195,8377,1,1,1,1,0.7355764760153571,0.9334401820640416,0.7841721983057726,0.9110809559881201
101,JOO KOON,12478,12925,7364,7008,0,0,0,0,0.8921257415331395,0.8690974897292321,0.9273814909015139,0.8272328323435375
102,JOO SENG,14278,14023,8195,7874,1,1,1,1,0.7879812549349688,0.5331889237089453,0.7780980875127949,0.4599249124509955
103,JURONG GATEWAY,14278,14023,8195,8377,1,1,1,1,0.7365749669552991,0.7491778398515719,0.6776066371257389,0.6728116683996629
104,JURONG PORT,2977,2686,1401,1350,0,0,0,0,0.16861804248031861,0.5355047807564618,0.11585817380519385,0.49455116656281023
105,JURONG RIVER,7116,3576,5177,2127,0,0,0,0,0.3713813554903599,0.1740227143756236,0.3132718443929975,0.12559865231747133
106,JURONG WEST CENTRAL,14278,14023,8195,8377,1,1,1,1,0.9308071678825964,0.9356239988500812,0.8348768120879055,0.8615648256782515
107,KAKI BUKIT,14278,14023,8195,8377,1,1,1,1,0.4843259224586154,0.3182646751375506,0.4326566817359635,0.3245900241228883
108,KALLANG BAHRU,14278,14023,8195,8377,1,1,1,1,0.5368176843678256,0.520826836764239,0.48201680940055525,0.2908304739239155
109,KALLANG WAY,12215,13524,5418,7360,0,1,0,0,0.3979514213305867,0.5987289061195169,0.4911694163181079,0.5150499312681927
110,KAMPONG BUGIS,12733,12587,8112,7726,0,0,1,1,0.6297346189618075,0.6303282366969098,0.6579025893349874,0.5871674020809736
111,KAMPONG GLAM,9575,9088,5760,5683,0,0,0,0,0.6423500850138779,0.5810186450285468,0.5773555049343524,0.6459503316602351
112,KAMPONG JAVA,14278,14023,8195,7990,1,1,1,1,0.6871566065160578,0.43037392912644234,0.553301838656079,0.46361100952367673
