ind,name,epi_val,loc_x,loc_y,geometry,lon,lat
138,SENGKANG TOWN CENTRE,0.010405315200682577,35163.81208241263,41501.14185733575,POINT (35163.81208241263 41501.14185733575),103.89769104270918,1.3915952146025619
139,CORONATION ROAD,0.0015135200221776009,24463.149083049786,34200.33394610333,POINT (24463.14908304979 34200.33394610333),103.80153806031561,1.3255699870997546
140,SEMBAWANG STRAITS,0.00035959411712018147,28352.47747941471,48918.274998343266,POINT (28352.47747941471 48918.27499834327),103.83648595685038,1.4586739673171052
141,CHONG BOON,0.0062555926824650904,30485.51096793551,38478.993077453386,POINT (30485.51096793551 38478.99307745339),103.85565259176533,1.3642647614811059
142,LORONG AH SOO,0.00641437868628165,33930.31694000141,37657.02605083232,POINT (33930.31694000141 37657.02605083232),103.88660635578636,1.3568306986056031
143,TOH GUAN,0.003374937266237623,18294.17741956271,35518.17003930615,POINT (18294.17741956271 35518.17003930615),103.74610612331207,1.3374866754402714
144,CHATSWORTH,0.0021650165454204767,26896.40192018841,31045.018709789372,POINT (26896.40192018841 31045.01870978937),103.82340226533074,1.2970346150649472
145,NORTHLAND,0.0036773581700950686,28520.58147944309,46642.724306057,POINT (28520.58147944309 46642.724306057),103.8379965049443,1.4380947108797335
146,BUKIT MERAH,0.00466165773731061,26360.799076920233,29384.142962963735,POINT (26360.79907692023 29384.14296296374),103.81858972483472,1.282014215039315
147,MOULMEIN,0.004587440023091241,29057.441598430312,33323.92217556762,POINT (29057.44159843031 33323.92217556762),103.84282023423542,1.3176442161211235
148,YIO CHU KANG WEST,0.0026118099790207582,28750.497907953646,40360.62629937161,POINT (28750.49790795365 40360.62629937161),103.84006236264308,1.3812816745170018
149,FORT CANNING,0.001130853067539101,29413.971801835447,30713.07235701978,POINT (29413.97180183545 30713.07235701978),103.84602372251331,1.294032596644197
150,MARINE PARADE,0.005407493284535189,36263.982732692464,31684.26562347877,POINT (36263.98273269246 31684.26562347877),103.90757424539666,1.302814658088958
151,PLAB,0.00036849117562200563,36691.9113853847,37730.7232890936,POINT (36691.9113853847 37730.7232890936),103.91142109667577,1.3574965116360636
152,TAMAN JURONG,0.010460549651638807,15522.036299892932,35189.13951045098,POINT (15522.03629989293 35189.13951045098),103.72119698791933,1.3345100276737618
153,KATONG,0.002371051236313791,35680.90070278952,32176.35068347094,POINT (35680.90070278952 32176.35068347094),103.90233511048451,1.3072650486138169
154,LAKESIDE,0.0024880641554667292,16697.011877055575,35114.90626630187,POINT (16697.01187705557 35114.90626630187),103.73175482665911,1.3338391511338976
155,PAYA LEBAR NORTH,0.0011579672304453323,38291.97884939949,39463.33191066482,POINT (38291.97884939949 39463.33191066482),103.92579933809868,1.3731650750657904
156,KAMPONG UBI,0.006484021252792881,35039.54952054741,34647.26335982933,POINT (35039.54952054741 34647.26335982933),103.89657283261425,1.3296112488672591
157,JOO KOON,0.004585544580404524,10883.946697259795,34203.6959676138,POINT (10883.94669725979 34203.6959676138),103.67952175742735,1.3255957904203604
158,XILIN,0.002451362541632842,43110.614114147545,34607.313266481964,POINT (43110.61411414755 34607.31326648196),103.96909570081026,1.329247014077246
159,BRICKWORKS,0.00261681065908692,17861.636470452515,37527.33440354433,POINT (17861.63647045251 37527.33440354433),103.74221882010215,1.3556566787003048
160,FARRER PARK,0.004605178539844609,30093.415208754835,32386.2107714154,POINT (30093.41520875484 32386.2107714154),103.85212892485775,1.3091638324246975
161,PENG SIANG,0.003087846287919031,17462.29208869116,40146.41131634766,POINT (17462.29208869116 40146.41131634766),103.73862952723161,1.3793425042886984
162,MAXWELL,0.0004059105965932988,29392.0478273365,29096.75392269798,POINT (29392.0478273365 29096.75392269798),103.84582665508717,1.2794151814230914
