node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
SENTOSA,2906,1560,2332,1740,0,0,0,0
SERANGOON CENTRAL,14278,14023,8195,8377,1,1,1,1
SERANGOON GARDEN,14278,14023,8195,8377,1,1,1,1
SERANGOON NORTH,14278,14023,8195,7726,1,1,1,1
SERANGOON NORTH IND ESTATE,10037,8361,4225,3510,0,0,0,0
SHANGRI-LA,14278,12669,8195,7616,1,0,1,0
SHIPYARD,1538,1758,704,785,0,0,0,0
SIGLAP,5980,12587,3577,7402,0,0,0,0
SIMEI,14278,14023,8195,8377,1,1,1,1
SINGAPORE GENERAL HOSPITAL,14278,14023,8112,8136,1,1,1,1
SINGAPORE POLYTECHNIC,14278,14023,8112,7782,1,1,1,1
SOMERSET,14278,14023,8195,8377,1,1,1,1
SPRINGLEAF,8257,4950,4585,2915,0,0,0,0
STRAITS VIEW,2678,3191,1932,2421,0,0,0,0
SUNGEI ROAD,12630,12925,8195,7782,0,0,1,1
SUNSET WAY,7640,5888,4169,2960,0,0,0,0
SWISS CLUB,12461,12581,6835,7390,0,0,0,0
TAGORE,11628,9083,6239,5145,0,0,0,0
TAI SENG,14278,14023,8195,7782,1,1,1,1
TAMAN JURONG,14278,14023,8195,8377,1,1,1,1
TAMPINES EAST,14278,14023,8195,8377,1,1,1,1
TAMPINES NORTH,6777,9253,4249,5666,0,0,0,0
TAMPINES WEST,14278,14023,8195,8377,1,1,1,1
TANGLIN,2505,2776,1358,1478,0,0,0,0
TANGLIN HALT,12981,13524,7591,7726,1,1,0,1
TANJONG PAGAR,11945,12925,4426,5154,0,0,0,0
TANJONG RHU,12224,12587,7092,7726,0,0,0,1
TEBAN GARDENS,14278,13524,8195,7874,1,1,1,1
TECK WHYE,14278,14023,8195,8377,1,1,1,1
TELOK BLANGAH DRIVE,14278,13524,8195,7874,1,1,1,1
