node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
CLEMENTI CENTRAL,16007040.0,18235580.0,0.01098143861585865,0.0010469826946818868,0.0008148809735540731,5320940.0,6043940.0,0.01133422589858623,0.002300101579692639,0.0017718620404922685
CLEMENTI NORTH,10375714.0,10692429.0,0.006831448696495461,0.0008604637225485293,0.0009252894338166288,3459190.0,3291082.0,0.006646755209596994,0.0012954188633571091,0.0017726471457876103
CLEMENTI WEST,4751780.0,4033420.0,0.00336475429234734,0.00026156058993224724,0.0004199051333729138,1752640.0,1515720.0,0.003713843831470809,0.0007460580852006728,0.0008541460876282319
CLEMENTI WOODS,5289500.0,5598100.0,0.003708488186062692,0.00037314873425869016,0.0003401398067026289,1810380.0,1736040.0,0.003873770571133442,0.0007295927713324292,0.0007372210374138925
CLIFFORD PIER,1547120.0,1569212.0,0.001450399052855979,0.0005332269611145376,0.0005158511468467066,268680.0,358167.0,0.001007870253999608,0.0003538756661087934,0.00023553539659202166
COMMONWEALTH,2894474.0,3845441.0,0.0025065049017059,0.0003081381161384864,0.00020051978504915087,979478.0,1248649.0,0.002450803170709348,0.00042965915084934743,0.0002911437573595263
COMPASSVALE,4968301.0,4973942.0,0.002724036164680093,0.0033305804567880805,0.004139730397769243,1589128.0,1556698.0,0.002531931973405325,0.002914982584863774,0.0037343061648444594
CORONATION ROAD,2313200.0,2922197.0,0.002049800609739431,0.0002814935669537091,0.0003305764721774232,695499.0,682068.0,0.0018096816549736988,0.0003105591665202851,0.0003757498937608482
CRAWFORD,4164990.0,3755639.0,0.0030280043523432994,0.0012202410491092594,0.001485427054818648,1698418.0,1625338.0,0.003279709607498267,0.0018901484592793347,0.002105725322516366
DAIRY FARM,1582510.0,1328638.0,0.0014275071761402625,0.00018158924047514583,0.0002528204253321663,457059.0,385394.0,0.0012454357942795694,0.00024305305445622942,0.0003268319438150325
DEFU INDUSTRIAL PARK,3065340.0,2039160.0,0.0019300516576898968,0.002683803068634486,0.0024149926070556574,869120.0,638720.0,0.0016882168277389735,0.002129545236471317,0.0017080950433796336
DEPOT ROAD,1771340.0,1477660.0,0.001616309734627518,6.816813770794326e-05,8.461636608935626e-05,482480.0,443140.0,0.0014217432024027415,9.889860344605474e-05,0.00011774184956352331
DHOBY GHAUT,5456991.0,5094121.0,0.0040160738381733625,0.0013258455778046073,0.0009791426959252236,2297081.0,2100222.0,0.004512963632614954,0.0018272970494541407,0.0015821416199755826
DOVER,4505800.0,4093460.0,0.003388813811139469,0.00018603800359675454,0.00023025374352110973,1215560.0,988624.0,0.0028871293048890272,0.00022016955889473018,0.00028881620168134215
DUNEARN,1448860.0,2313084.0,0.001603384158428505,0.00046127822100971544,0.00011537471916476638,485780.0,742180.0,0.001538847917902097,0.0005197037676967383,0.00018365483873986776
EVERTON PARK,3146520.0,2670988.0,0.002640759252351817,0.00032561613981817677,0.0005572325560684427,1067380.0,869007.0,0.00255119723546391,0.0003878015973817919,0.0006895336919610422
FABER,1658360.0,1769000.0,0.0014448954064368834,0.00015446072684459542,0.00013129098927634994,448380.0,503200.0,0.0012744916088080363,0.00029306485974402695,0.00026481744935835894
FAJAR,3421572.0,3450651.0,0.002492206121202935,0.0003502543121971146,0.00030930935053094744,1209614.0,1293785.0,0.002498740549466889,0.0006577819360000386,0.0005862235018733799
FARRER COURT,1485448.0,1319128.0,0.0015269642266507737,0.00021373228900238017,7.340585069917409e-05,510563.0,438788.0,0.001473553874379889,0.00024860898960651147,0.00010453713974778057
FARRER PARK,6579754.0,6541350.0,0.004674605732213135,0.004382219120122818,0.0017157998416419493,3299618.0,3815991.0,0.006373465734454759,0.0077727854007474135,0.002831243240000297
FERNVALE,6153053.0,6321182.0,0.003785075485465528,0.0034559966229560533,0.003247250947660528,2092290.0,2264459.0,0.0036756857894796346,0.0035711049421623823,0.0032442667719524564
FLORA DRIVE,2772287.0,2625480.0,0.0017823089287886654,0.009625549047268315,0.010532348113464218,790493.0,866940.0,0.001605993668828348,0.007197228233359438,0.006353023788941568
FORT CANNING,1358860.0,869865.0,0.001500011036185691,0.00013377831388879888,7.667362663557748e-05,458540.0,404030.0,0.0014307563560656904,0.00024526966969629305,0.000121050456611143
FRANKEL,14963210.0,11952970.0,0.007799749545224559,0.019236388751812068,0.026849803888707818,5282040.0,4200435.0,0.007789875400895731,0.016445969849122433,0.02375948437157887
GALI BATU,2955676.0,2776978.0,0.002364981688265768,0.0005361023268582743,0.00040184503951744537,1406760.0,1419200.0,0.002717881663868564,0.001168489164379452,0.0007973031540130678
GEYLANG BAHRU,4756853.0,4651548.0,0.0030674244069281054,0.0014328460752213244,0.0027079211442972563,1560119.0,1585543.0,0.0028898959088443704,0.0016504639165628354,0.00225112864605879
GEYLANG EAST,16137225.0,18577127.0,0.008966110337597434,0.02185168066064409,0.016911805979492447,6934664.0,7755715.0,0.010737807864752046,0.023875805381786897,0.019275564664916336
GHIM MOH,2532920.0,2395960.0,0.0022433221555163392,9.185475673189563e-05,0.00010637801307027238,889500.0,869100.0,0.002275769969078358,0.0001678067452120144,0.00022303557527104256
GOMBAK,3072043.0,4465463.0,0.0023045613978843697,0.0007117441680020916,0.0005208404024640127,962019.0,1571506.0,0.002120514353286044,0.0010407037952705571,0.0007065698032040611
GOODWOOD PARK,777120.0,462110.0,0.000980255507087992,5.974176024856703e-05,0.00010015999647294169,197160.0,151436.0,0.0008395879647096904,7.282749341268117e-05,0.00011119504469236341
GREENWOOD PARK,1499591.0,1111527.0,0.0011505826190886812,0.0008432128358164068,0.00178688090245104,138600.0,321848.0,0.0006884849214884981,0.0007695817592313066,0.000489043232083218
GUILIN,4748933.0,3437791.0,0.00302665018883023,0.00030313716583023315,0.0003305062971198914,1537971.0,1211750.0,0.0028291573342290686,0.0005195396030328762,0.0006739037057348665
GUL BASIN,779360.0,196660.0,0.0012387511607764722,1.0437936397634093e-05,4.660954247367081e-05,221560.0,67660.0,0.0011554737805184135,2.2887197323004158e-05,7.029050629014022e-05
GUL CIRCLE,1032595.0,1375224.0,0.0014863594353886475,9.849268337123841e-05,0.00010053739104558699,284736.0,395145.0,0.0013422060192415533,0.00017857693972924974,0.0001588292419716495
HENDERSON HILL,4727180.0,5378834.0,0.003636183742057388,0.0004141430029210233,0.0002728821502516825,1686480.0,1950594.0,0.003703434950754,0.0006405649168582436,0.00044370741089817475
HILLCREST,1379220.0,1543919.0,0.0015361161062379643,0.00024401781848279398,0.00010125318630200976,333560.0,442527.0,0.001208482290188573,0.0002681349683879331,0.00013806483794421063
HILLVIEW,3726360.0,3447549.0,0.0027280655752800463,0.00032158619818433137,0.0002474996487329298,1163680.0,1096853.0,0.002552550124320415,0.0005222735633475691,0.00040752346988021223
HOLLAND DRIVE,3131460.0,3252388.0,0.002674672609941618,0.00019001652829330745,0.00013700048944623132,1113160.0,1131900.0,0.0027762857418538477,0.00032013311475373663,0.0002724175522045893
HOLLAND ROAD,5256899.0,5799585.0,0.003806544798617214,0.0004675162198170094,0.0005009496522562134,1139578.0,1364749.0,0.0026246048191755226,0.0005422697987080713,0.0004415433514912982
HONG KAH,14798280.0,14899240.0,0.0094202902176751,0.002890489664400517,0.0031971473429330843,5567800.0,5481940.0,0.009742717886745904,0.00847423783323722,0.009434492024842716
HONG KAH NORTH,4462100.0,5469842.0,0.0030316012156420906,0.0004075634635723936,0.0003236182716041034,1458280.0,1770810.0,0.0028697012406511744,0.0008157917641606662,0.0006729062057282562
HOUGANG CENTRAL,14790173.0,13499092.0,0.007317318579187713,0.007258561887820501,0.00877033627658756,5371450.0,4709177.0,0.007526772765055623,0.0070157150049040195,0.008895006464193419
HOUGANG EAST,5283920.0,5553900.0,0.0028994713462879426,0.003551770505337075,0.0031727711784968367,1851580.0,1815295.0,0.002920228413710977,0.0030835054096145006,0.003118255915564193
HOUGANG WEST,11786020.0,12448624.0,0.006019941618969043,0.007007485425129126,0.0063137739580839385,4156420.0,4466632.0,0.006123213502938073,0.007114591779643007,0.006334200260009056
INSTITUTION HILL,794280.0,620560.0,0.0009657591499227661,3.240131211946793e-05,0.00010053113118929561,309560.0,233640.0,0.0009966921359859243,5.232324751746323e-05,0.00016240911434246084
INTERNATIONAL BUSINESS PARK,870740.0,912520.0,0.0010194377595717948,7.66005220233829e-05,8.67576205074453e-05,120680.0,153780.0,0.0007141795596336826,9.534789109921424e-05,9.581500479087802e-05
ISTANA NEGARA,115200.0,145336.0,0.0005565282619136493,2.5991377851698663e-05,7.314888172231568e-05,27000.0,32115.0,0.0005337897672337122,2.287485234136138e-05,4.54846890234518e-05
JELEBU,15167400.0,15238227.0,0.009805480696553789,0.0015697290118472011,0.0019199798506650966,5640190.0,5538106.0,0.010265159273228738,0.002974391399366849,0.003486579252861495
JOO KOON,4658785.0,5492307.0,0.006139961236947658,0.0008314003603940953,0.0007733740899965991,1498582.0,1745292.0,0.006075862335741405,0.0015160925148016429,0.001762378445958233
JOO SENG,3734122.0,3746185.0,0.0024406242851280325,0.002087169192099908,0.002177660368070954,1022909.0,878137.0,0.0020707809522766863,0.0015099109488541994,0.001619567354570913
JURONG GATEWAY,16500165.0,17760512.0,0.0110502731723096,0.0020895136471105052,0.0017488993765914036,6960553.0,7312298.0,0.013285999584662233,0.005846170880154725,0.004879782784410432
