node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
KAKI BUKIT,0.3892848778508695,0.348341242335074,0.32083054284668033,0.25407148858176043,0.30284386507327726,0.34096895300199614,0.3265757397143397,0.29487863431870387,0.2628065757461825,0.3258903747160857
KALLANG BAHRU,0.1625022382664775,0.12555629362794554,0.1477941446555986,0.019766543449509566,0.03495125638594349,0.12146688525633884,0.10543298445346133,0.11424370851068806,0.027292347436745433,0.03672997268963615
KALLANG WAY,0.08120213120696325,0.09591445652532454,0.07221715331023297,0.018608634753871867,0.02454844761264998,0.04294903424258638,0.058218677339307925,0.04219370395189023,0.01167352764759073,0.018654433723825296
KAMPONG BUGIS,0.05336607707994812,0.0450525326815042,0.04848831041390691,0.002975370112391309,0.018412772427447092,0.07230273771728879,0.063457492884544,0.06638386111029457,0.007834686689075422,0.035616181367921114
KAMPONG GLAM,0.02888082032720336,0.030353732567305187,0.029674368669802192,0.005395508394307146,0.006113792750309787,0.03310352033034956,0.037358586417783106,0.032885569160806045,0.00781160124215674,0.01224859897070319
KAMPONG JAVA,0.09788577048750242,0.0852537117521472,0.09405274099091343,0.007007230637137653,0.008616332374197178,0.08650886255419338,0.07574069129016081,0.08243056487757279,0.009233689480925568,0.014506282462875128
KAMPONG TIONG BAHRU,0.09859632758876377,0.08505440377084217,0.11332717117977444,0.0016223449550715509,0.0035898520169838116,0.10309792498978677,0.08088400992581689,0.12356387750924852,0.0033192741613904957,0.007676441685975728
KAMPONG UBI,0.26678310972918207,0.24342661860602138,0.22240765822898184,0.09401194649998254,0.14576468214631388,0.20369569999506174,0.176621900624597,0.18370090172848635,0.08833961427452322,0.1379319347529652
KANGKAR,0.17329478919955527,0.17567072012484544,0.13423415436341846,0.060565653264213065,0.04175992406557875,0.15802613036286456,0.1758950494662594,0.12914903529025948,0.0753674653468729,0.04927561744486513
KATONG,0.11678512670837413,0.10910043256855637,0.10451142386517637,0.06042021443361922,0.04506350096862183,0.1224444985885131,0.11808563296621705,0.11163706553531406,0.08517165344383719,0.06804850200410406
KEAT HONG,0.18425238417097947,0.1331220917072638,0.1615032631124134,0.006042514032039131,0.009887596813190144,0.16834865624080453,0.13023002299090133,0.15323938578705257,0.015889212581749596,0.02441863078734014
KEBUN BAHRU,0.13342186759503818,0.16822898834919872,0.11605638857276461,0.015022512683239099,0.009329721335062985,0.1323879615696828,0.16910727893238853,0.12263248736229741,0.02269331266699258,0.015128803123536568
KEMBANGAN,0.2625136146095462,0.2555341590391814,0.2230870506680877,0.2625009400512205,0.19611172275778624,0.2653696577455471,0.2641759585512476,0.23184798082566074,0.31717330748476785,0.23195482662060837
KENT RIDGE,0.027048416497206556,0.03324089734942281,0.03420440142295469,0.0005557161839795825,0.0006576835646987821,0.010589926836126718,0.012777535349324928,0.014043180703974851,0.0005154411350848309,0.0008762088892791521
KHATIB,0.336183126619569,0.18016716391766296,0.2867261461505471,0.032307217582831095,0.11151294146217851,0.32582145598842244,0.16977754837533135,0.2831899945242012,0.051839645903445315,0.14791774387748743
KIAN TECK,0.06371216459014548,0.04151088473520958,0.07196537496820331,0.005992307212287743,0.01316129549835119,0.049247159374970664,0.036082037788444626,0.06450287053986993,0.018698591094472295,0.029701359986842372
KIM KEAT,0.03136388132965073,0.06625646777005961,0.03052699860572499,0.010315046867913995,0.003624183078059692,0.030427878263999678,0.07370114433466415,0.03157195150833454,0.015961756097842377,0.005502843614225529
