ind,clusters,flow,node,ori_index,level_1,level_2
36,2:5,0.00662572,CLEMENTI NORTH,163,2,2_5
37,2:6,0.00592101,ANAK BUKIT,35,2,2_6
38,2:7,0.00456081,YUHUA EAST,104,2,2_7
39,2:8,0.00428592,BANGKIT,71,2,2_8
40,2:9,0.00385077,SENJA,70,2,2_9
41,2:10,0.00368795,HOLLAND ROAD,51,2,2_10
42,2:11,0.00367797,TEBAN GARDENS,13,2,2_11
43,2:12,0.00356283,HONG KAH NORTH,75,2,2_12
44,2:13,0.0034100000000000003,ONE NORTH,112,2,2_13
45,2:14,0.00340413,BRICKWORKS,160,2,2_14
46,2:15,0.00333368,TOH GUAN,192,2,2_15
47,2:16,0.00301974,CLEMENTI WOODS,15,2,2_16
48,2:17,0.00301697,CLEMENTI WEST,213,2,2_17
49,2:18,0.00289946,GUILIN,181,2,2_18
50,2:19,0.00286225,FAJAR,241,2,2_19
51,2:20,0.00284233,DOVER,228,2,2_20
52,2:21,0.00283003,SAUJANA,269,2,2_21
53,2:22,0.00276411,BUKIT BATOK WEST,42,2,2_22
54,2:23,0.00271893,HILLVIEW,132,2,2_23
55,2:24,0.00265379,BUKIT BATOK SOUTH,164,2,2_24
56,2:25,0.0025854,SWISS CLUB,117,2,2_25
57,2:26,0.00238637,BUKIT BATOK EAST,184,2,2_26
58,2:27,0.00218324,HOLLAND DRIVE,102,2,2_27
59,2:28,0.00197068,SINGAPORE POLYTECHNIC,105,2,2_28
60,2:29,0.00191822,GOMBAK,100,2,2_29
61,2:30,0.00189441,NATIONAL UNIVERSITY OF S'PORE,244,2,2_30
62,2:31,0.00188404,GHIM MOH,101,2,2_31
63,2:32,0.001578,PASIR PANJANG 1,204,2,2_32
64,2:33,0.00156921,CORONATION ROAD,115,2,2_33
65,2:34,0.00132988,LEEDON PARK,271,2,2_34
66,2:35,0.00116916,DAIRY FARM,149,2,2_35
67,2:36,0.00115651,ULU PANDAN,242,2,2_36
68,2:37,0.0011167,TOH TUCK,156,2,2_37
69,2:38,0.0010589,NATURE RESERVE,124,2,2_38
70,2:39,0.000983217,DUNEARN,223,2,2_39
71,2:40,0.000926924,FARRER COURT,276,2,2_40
72,2:41,0.0009267230000000001,HILLCREST,90,2,2_41
73,2:42,0.000810947,FABER,246,2,2_42
74,2:43,0.000753086,WEST COAST,14,2,2_43
75,2:44,0.0006191769999999999,SUNSET WAY,72,2,2_44
76,2:45,0.0005205769999999999,TENGAH,272,2,2_45
77,2:46,0.00038313,PANDAN,293,2,2_46
78,2:47,0.00038121199999999997,KENT RIDGE,232,2,2_47
79,2:48,0.000331415,PENJURU CRESCENT,286,2,2_48
80,2:49,0.000327252,JURONG RIVER,39,2,2_49
81,2:50,0.000245389,INTERNATIONAL BUSINESS PARK,237,2,2_50
82,3:1,0.00785143,BOULEVARD,79,3,3_1
83,3:2,0.00750126,MARITIME SQUARE,38,3,3_2
84,3:3,0.00712424,TIONG BAHRU STATION,126,3,3_3
85,3:4,0.00542884,CHINATOWN,5,3,3_4
86,3:5,0.00491733,ALEXANDRA HILL,106,3,3_5
87,3:6,0.00481839,SOMERSET,76,3,3_6
88,3:7,0.00474886,BUGIS,95,3,3_7
89,3:8,0.00468063,BUKIT MERAH,194,3,3_8
90,3:9,0.00441951,CITY HALL,206,3,3_9
91,3:10,0.00396916,TELOK BLANGAH DRIVE,142,3,3_10
92,3:11,0.00377823,DHOBY GHAUT,233,3,3_11
93,3:12,0.00330195,PEOPLE'S PARK,177,3,3_12
