ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
220,SENJA,5369,5863,5059,5445,1,1,1,1
221,SENNETT,4831,4445,4464,3903,1,0,1,0
222,SENOKO NORTH,1457,1700,1356,1485,0,0,0,0
223,SENOKO SOUTH,2271,2441,1607,1872,0,0,0,0
224,SENOKO WEST,1457,2021,1356,1893,0,0,0,0
225,SENTOSA,919,493,1166,870,0,0,0,0
226,SERANGOON CENTRAL,7385,7318,6252,6239,1,1,1,1
227,SERANGOON GARDEN,5789,6396,5321,5684,1,1,1,1
228,SERANGOON NORTH,5770,4758,4987,3984,1,1,1,0
229,SERANGOON NORTH IND ESTATE,3174,2644,2112,1755,0,0,0,0
230,SHANGRI-LA,5351,4006,4987,3847,1,0,1,0
231,SHIPYARD,486,556,352,392,0,0,0,0
232,SIGLAP,1891,4039,1789,3814,0,0,0,0
233,SIMEI,7385,7318,6252,6239,1,1,1,1
234,SINGAPORE GENERAL HOSPITAL,7385,7318,6252,6171,1,1,1,1
235,SINGAPORE POLYTECHNIC,7385,7231,5501,5577,1,1,1,1
236,SOMERSET,7385,7318,6252,6239,1,1,1,1
237,SPRINGLEAF,2611,1565,2293,1457,0,0,0,0
238,STRAITS VIEW,3034,3085,3759,3875,0,0,0,0
239,SUNGEI ROAD,6385,6269,6252,6106,1,1,1,1
240,SUNSET WAY,2416,1862,2084,1480,0,0,0,0
241,SWISS CLUB,4069,4006,3417,3745,0,0,0,0
242,TAGORE,3677,2872,3145,2572,0,0,0,0
243,TAI SENG,5104,4758,4464,4149,1,1,1,1
244,TAMAN JURONG,7385,7318,6252,6239,1,1,1,1
245,TAMPINES EAST,7385,7318,6252,6239,1,1,1,1
246,TAMPINES NORTH,2143,2926,2124,2833,0,0,0,0
247,TAMPINES WEST,7385,7318,6252,6239,1,1,1,1
248,TANGLIN,792,878,679,739,0,0,0,0
249,TANGLIN HALT,4397,4514,4154,4058,0,1,0,0
250,TANJONG PAGAR,7385,7318,6252,6171,1,1,1,1
251,TANJONG RHU,6317,6396,5918,6106,1,1,1,1
252,TEBAN GARDENS,5170,4480,5059,4298,1,0,1,1
253,TECK WHYE,7385,7196,6252,6171,1,1,1,1
254,TELOK BLANGAH DRIVE,5186,4696,4589,4298,1,1,1,1
255,TELOK BLANGAH RISE,4397,4445,4154,4058,0,0,0,0
256,TELOK BLANGAH WAY,2792,4445,2581,3978,0,0,0,0
257,TENGAH,1613,1388,1454,1245,0,0,0,0
258,TENGEH,170,197,163,180,0,0,0,0
259,THE WHARVES,403,939,450,1062,0,0,0,0
260,TIONG BAHRU,4387,4445,4255,4058,0,0,0,0
261,TIONG BAHRU STATION,7385,7318,6252,6239,1,1,1,1
262,TOA PAYOH CENTRAL,7385,7318,6252,6239,1,1,1,1
263,TOA PAYOH WEST,7385,7318,6252,6171,1,1,1,1
264,TOH GUAN,4584,4411,4434,4136,0,0,0,1
265,TOH TUCK,4039,4043,3427,3543,0,0,0,0
266,TOWNSVILLE,4831,5320,4690,5279,1,1,1,1
267,TRAFALGAR,5780,6396,5321,5684,1,1,1,1
268,TUAS BAY,4403,4425,4422,3983,0,0,0,0
269,TUAS NORTH,4403,4591,3775,4034,0,1,0,0
270,TUAS PROMENADE,4317,4226,4414,4275,0,0,0,1
271,TUAS VIEW,795,714,966,683,0,0,0,0
272,TUAS VIEW EXTENSION,395,374,519,436,0,0,0,0
273,TUKANG,2148,1131,1533,913,0,0,0,0
274,TURF CLUB,7385,7318,6252,6239,1,1,1,1
275,TYERSALL,6292,6483,5904,5763,1,1,1,1
276,ULU PANDAN,3017,1484,2771,1279,0,0,0,0
