ind,node,level_1_weekday,level_1_weekend,weekday_com_ent_in,weekday_com_ent_out,weekend_com_ent_in,weekend_com_ent_out
94,LORONG HALUS,2,2,0.2940271343435286,0.0,0.2812538206847896,0.0
95,SENGKANG TOWN CENTRE,3,3,0.5756726837310282,0.5801774371695008,0.5206970100564863,0.5315266741350881
96,HOUGANG CENTRAL,3,3,0.6077330364369391,0.6282302708667951,0.5677749225900731,0.5884848710184443
97,BISHAN EAST,3,3,0.811076473785447,0.8338498488464692,0.7975762515556967,0.8080778192049327
98,MATILDA,3,3,0.5379272554030107,0.5345493397783315,0.48980283038032063,0.49187589973986806
99,HOUGANG WEST,3,3,0.49469161107531673,0.4802552309485658,0.4974443305291182,0.4721570425935286
100,RIVERVALE,3,3,0.5231782939190912,0.4922461046568502,0.5068983171390764,0.4575216687837201
101,PUNGGOL FIELD,3,3,0.5021424486940156,0.4957951255191076,0.47145353472878687,0.4534562557342392
102,ANCHORVALE,3,3,0.3700283923723057,0.40201456390618023,0.34698614584965043,0.3663859954611281
103,TRAFALGAR,3,3,0.4662001072129536,0.45138454050652876,0.4642217713665457,0.44873095836065524
104,COMPASSVALE,3,3,0.5655470196656669,0.588906529824378,0.5205396138418014,0.5249194689046309
105,MARYMOUNT,3,3,0.5598358545634081,0.46634919738840674,0.5363779619222433,0.46877227388280335
106,WATERWAY EAST,3,3,0.3751709228350166,0.470988322311893,0.32296631523022473,0.4158432013034412
107,UPPER THOMSON,3,3,0.7820626872922906,0.7834250931897715,0.7457496987347738,0.7500526461457606
108,KANGKAR,3,3,0.3707348106351968,0.4423140813452044,0.37336471653710757,0.44817535134693126
109,FERNVALE,3,3,0.5323159503982052,0.5773968751673507,0.508878135889375,0.5386424407901598
110,HOUGANG EAST,3,3,0.3222017912453256,0.29229976017149306,0.3420984908764236,0.3161100812266541
111,PUNGGOL TOWN CENTRE,3,3,0.40607955626726683,0.39168265139035335,0.44018094557465426,0.4253917587904913
112,SELETAR,3,3,0.5572553811628029,0.5141317134688891,0.5612221165801711,0.5161812569569005
113,NORTHSHORE,3,3,0.4891150565924529,0.5144196598111759,0.4011976199361806,0.415264962589779
114,SELETAR AEROSPACE PARK,3,3,0.4238580580040486,0.35034479035343696,0.42128911665834284,0.3601541034645705
115,JURONG WEST CENTRAL,4,6,0.5817337200949241,0.5911942182286359,0.649071493856019,0.6647973635119769
116,JURONG GATEWAY,4,4,0.7596459721800118,0.7350161178566562,0.7726511338481692,0.7675647675606325
117,YUNNAN,4,6,0.037885621970324274,0.07973979441867485,0.09139345250935248,0.12472177946829253
118,HONG KAH,4,6,0.20946353487541783,0.2339637520689292,0.37083043222289286,0.38899397073162845
119,TAMAN JURONG,4,6,0.6206136564498482,0.6268783417955541,0.7063416267890903,0.7024352188608384
120,BOON LAY PLACE,4,6,0.1942550944498992,0.17106473484880022,0.23966144069282516,0.23530340422210577
121,YUHUA EAST,4,4,0.4251925143498661,0.31070776871515887,0.46440754133748957,0.35780797515837015
122,TOH GUAN,4,4,0.5029529105505425,0.46338476050012123,0.4560868944517713,0.4261946838392543
123,YUHUA WEST,4,4,0.25647138430317956,0.38734398414922977,0.40339157140887894,0.4918145758391136
124,JOO KOON,4,6,0.5672892106842824,0.5775288906007792,0.5911359059456263,0.598933560498706
125,TEBAN GARDENS,4,4,0.3477574439868931,0.3278825363346648,0.3928716075737978,0.44429357838313777
126,TOH TUCK,4,4,0.4559648976177494,0.4755859537192451,0.28953526163919946,0.3234254527148468
127,LAKESIDE,4,4,0.6675834473236554,0.6609513854844157,0.7321896154249559,0.7311340213108088
128,KIAN TECK,4,6,0.04724322612570044,0.03722158024064916,0.08584345814397717,0.07898666213388353
129,WESTERN WATER CATCHMENT,4,6,0.24246175753147264,0.20612253285420085,0.2735714333651,0.26838887905131437
130,CHIN BEE,4,6,0.19006211267400863,0.0,0.3470113485837895,0.07289693682413399
131,WENYA,4,6,0.22565646898306363,0.06101926961476691,0.2750198976903062,0.11944666472323524
132,GUL CIRCLE,4,6,0.4621368293918312,0.47959765648001795,0.4935735632180982,0.4939648149725985
133,TUKANG,4,6,0.20921773997883406,0.005057231782359527,0.30771450690820074,0.008004249980375942
134,INTERNATIONAL BUSINESS PARK,4,4,0.4060457809664846,0.5321187539268383,0.5073731681803203,0.6632932210648785
135,LIU FANG,4,6,0.0,0.0,0.11556849637352132,0.03747102290809905
136,BENOI SECTOR,4,6,0.0,0.0,0.0,0.0
137,PENJURU CRESCENT,4,13,0.2433456684575215,0.2444634345333203,0.2438210471587231,0.26976159451615833
138,JURONG RIVER,4,4,0.2667112462418144,0.0,0.4507757788500023,0.1587220825254553
139,JURONG PORT,4,6,0.0,0.0,0.235171444214731,0.09684199971715833
140,GUL BASIN,4,6,0.0,0.05388683257472402,0.0,0.0863026349270769
141,SAMULUN,4,6,0.0,0.0,0.0,0.0
142,SHIPYARD,4,6,0.0,0.0,0.0,0.0
143,SAFTI,4,6,0.15467199413950722,0.10383485911347536,0.17946796578635427,0.09898461480809419
144,PIONEER SECTOR,4,6,0.0,0.013151410191482136,0.0,0.01070779722128064
145,CHOA CHU KANG CENTRAL,5,5,0.65731070118682,0.6488069766256391,0.6588657454546663,0.6551928016293556
146,JELEBU,5,5,0.48811378698653185,0.4409408591953424,0.4318955607411936,0.40818658682859005
147,TECK WHYE,5,5,0.47879727063507244,0.4826659513047232,0.41597218264408437,0.4230100189998609
148,SAUJANA,5,5,0.26718348351002874,0.36842591335038993,0.2664799306461819,0.36539232260857885
149,YEW TEE,5,5,0.7496763478865829,0.7786356794775132,0.745639646443963,0.7610479257162194
150,BANGKIT,5,5,0.4995878601735117,0.5813653597826353,0.4732168175799015,0.5080669649842253
151,PENG SIANG,5,5,0.20373686605225888,0.2143069148087046,0.18904062526348764,0.19752130506597168
152,FAJAR,5,5,0.3051859959772084,0.3600864955302893,0.27543378189065276,0.33884893831343044
153,KEAT HONG,5,5,0.42174858033467,0.26335984476799756,0.33189718423504017,0.2108241904114142
154,SENJA,5,5,0.3789075142770676,0.3724098790191802,0.397883044676694,0.36765132329292516
155,CHOA CHU KANG NORTH,5,5,0.020285922235559358,0.011049434213069835,0.0031410819889894363,0.0
156,DAIRY FARM,5,5,0.7141154772735095,0.698065152965074,0.5708535761627163,0.6020158270837515
157,LIM CHU KANG,5,7,0.37490777059079367,0.3042438539081088,0.35940882778621136,0.3582274410616461
158,WOODLANDS REGIONAL CENTRE,6,7,0.7121796552294435,0.6440895115516106,0.6611774838702851,0.6406558612333044
159,WOODLANDS EAST,6,7,0.7455392916619762,0.7644212189691643,0.7211076242545993,0.7261802766698369
160,WOODLANDS WEST,6,7,0.6490603295398273,0.6779160520682255,0.6116465116150411,0.6482348436354646
161,MIDVIEW,6,7,0.11790793437705098,0.19428541985704545,0.1339806091270789,0.21514568414054744
162,NORTH COAST,6,7,0.12328945465159931,0.21154623339272577,0.1397217369127554,0.20278697692421804
163,WOODLANDS SOUTH,6,7,0.05813756228054479,0.11241611832224228,0.0549340082679568,0.11590247318720111
164,TURF CLUB,6,7,0.746019475012197,0.7992833205476577,0.7635330713334963,0.8209450003803092
165,WOODGROVE,6,7,0.1964145544777084,0.4050702517786943,0.19345968602964234,0.4016291465046878
166,GREENWOOD PARK,6,7,0.023348259256678317,0.19340751558077235,0.16100985628727613,0.12275938720701425
167,SENOKO SOUTH,6,7,0.30282282663846766,0.3381499973616184,0.3822506423527735,0.43240308738109984
168,SENOKO WEST,6,7,0.25019361827892617,0.41463535340263347,0.2654477481976258,0.43768186738601644
169,GALI BATU,6,5,0.4878795060987798,0.4142334943653595,0.47585236027135497,0.4392598878500681
170,KRANJI,6,7,0.3283324739799809,0.1089734334432235,0.4085496205087621,0.161315407035915
171,RESERVOIR VIEW,6,7,0.1828760768107475,0.16569409139037158,0.14135082650782477,0.11165797076302601
172,PANG SUA,6,5,0.24460365176372992,0.2405907204451005,0.21420725264541526,0.19882219343949742
173,CLEMENTI CENTRAL,7,13,0.42217362382608903,0.4585674283740912,0.5499346632191418,0.5402151380199173
174,CLEMENTI NORTH,7,13,0.7780282838146445,0.7807561645117547,0.7945977685626433,0.8291580930315331
175,ONE NORTH,7,14,0.8137772726169097,0.8193605354874692,0.8408772539490788,0.8419238769581372
176,MEI CHIN,7,14,0.751787336769961,0.7452288677184427,0.7625430473082374,0.7374440756369877
177,COMMONWEALTH,7,14,0.7336424168732579,0.7545501873795892,0.7866880868038716,0.7816262326457312
178,SINGAPORE POLYTECHNIC,7,14,0.8397214733321503,0.7822230309469459,0.8030249162590823,0.7544102238553546
179,NATIONAL UNIVERSITY OF S'PORE,7,13,0.8270204233765291,0.8138233233131076,0.8382913430673702,0.8368813385612944
180,CLEMENTI WOODS,7,13,0.3715188720840869,0.3984951569268352,0.5269770548433839,0.49157616251874037
181,CLEMENTI WEST,7,13,0.3142442083223804,0.2730971988883746,0.3651332762349338,0.31398027325103994
182,DOVER,7,14,0.3965628951602444,0.23391478606304797,0.4706256263333839,0.4501477132307378
183,TANGLIN HALT,7,14,0.42618269292648675,0.40922930706892624,0.45295890361746094,0.5594925535865958
184,HOLLAND DRIVE,7,14,0.3686686464937938,0.44681537315926445,0.5119005841323172,0.5089007516646733
185,LEEDON PARK,7,14,0.7565214262292284,0.7162578364335414,0.7922443218375521,0.7698054479641719
186,PASIR PANJANG 1,7,13,0.7075947635365316,0.7089497150960621,0.7464985619512075,0.7559592638656846
187,MARGARET DRIVE,7,14,0.5150683918914317,0.3935412328573232,0.5378411721716485,0.3785609682560709
188,GHIM MOH,7,14,0.238639374644277,0.27270963899791556,0.45639437217096235,0.3114860421719179
189,FARRER COURT,7,14,0.7326161990413368,0.8318077804398772,0.7403662675654803,0.844520094687989
190,FABER,7,13,0.29396911006869786,0.5241063386947282,0.4561029930718037,0.5459191341290026
191,PANDAN,7,13,0.11210767489205993,0.339709448787109,0.1607719752423687,0.33250180132226426
192,WEST COAST,7,13,0.4615031133931305,0.27375115150328216,0.5131302343813622,0.3981834425517204
193,QUEENSWAY,7,14,0.36569363125630583,0.5597111346896468,0.4515952687859295,0.6248226880922696
194,ULU PANDAN,7,14,0.4030375787227961,0.22069330531653666,0.3577504448348231,0.3724205252488739
195,RIDOUT,7,14,0.39272446787173626,0.49365655937328123,0.3357725354813976,0.5123192272269884
196,SUNSET WAY,7,13,0.27823579256697833,0.525582921897983,0.4436057964458358,0.6651149917885852
197,PORT,7,13,0.8129523917432621,0.8163289795771489,0.7454594880167129,0.7888759790750409
198,KENT RIDGE,7,14,0.3569052735610903,0.3623088608745515,0.42846173968074197,0.5380829818557507
199,TIONG BAHRU STATION,8,8,0.67115239468665,0.6512789304859617,0.6835386112906571,0.6528563608780688
200,MARITIME SQUARE,8,8,0.7891179426815687,0.7871580213082152,0.7686171157908366,0.7801941479414052
201,REDHILL,8,8,0.7578013160014001,0.7243046615288429,0.7527678483460082,0.7163369933745996
202,BUKIT MERAH,8,8,0.40380569288455603,0.4677241239069364,0.4094716302020804,0.5033138376188783
203,HENDERSON HILL,8,8,0.37789479417223837,0.3816830970553056,0.4050367010602534,0.3597253850123544
204,ALEXANDRA HILL,8,8,0.554595920597233,0.5277024394873728,0.5663777508315484,0.5756568214515463
