ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
104,JURONG PORT,941,850,700,675,0,0,0,0,0.16861804248031861,0.5452658492074123,0.11585817380519384,0.49455116656281006
105,JURONG RIVER,2250,1131,2588,1064,0,0,0,0,0.4065863026575269,0.6683172823880128,0.34537058707873364,0.12559865231747133
106,JURONG WEST CENTRAL,7385,7318,6252,6239,1,1,1,1,0.7346128093895006,0.6861264176741011,0.647886402328061,0.60314055754694
107,KAKI BUKIT,7385,7318,6252,6239,1,1,1,1,0.37594915138176477,0.23691214619034573,0.3330561566119652,0.25778473728748635
108,KALLANG BAHRU,6610,6527,5904,5763,1,1,1,1,0.42937071492634155,0.25118126997258666,0.40904309651032894,0.2929923313232758
109,KALLANG WAY,3863,4566,2720,3733,0,1,0,0,0.3776046055032337,0.572790869812114,0.48509813525259954,0.5262885306986919
110,KAMPONG BUGIS,4307,4006,4464,4058,0,0,1,0,0.38486993558251736,0.6596756254776528,0.3983646042950887,0.6455504272901462
111,KAMPONG GLAM,3028,2874,2896,2841,0,0,0,0,0.6168408935353251,0.614010791406275,0.5123407071959494,0.6554303697812754
112,KAMPONG JAVA,6610,6504,6113,5760,1,1,1,1,0.4669928055628735,0.36910703169229586,0.3454357698165515,0.3481724578821014
113,KAMPONG TIONG BAHRU,4762,4445,4541,4058,1,0,1,0,0.6727159245236962,0.6388788770235271,0.6377244766978656,0.7623293485712601
114,KAMPONG UBI,7385,7318,6252,6171,1,1,1,1,0.290637821087538,0.24753872309180827,0.263378520695295,0.2779862413669969
115,KANGKAR,5499,5374,5044,5087,1,1,1,1,0.20236605860253132,0.5485955585418155,0.1367257910371761,0.5029961177933697
116,KATONG,5104,4758,4857,4481,1,1,1,1,0.5535958451598305,0.2801798738177784,0.5088049662090012,0.3146039020091783
117,KEAT HONG,4584,3023,4301,2839,0,0,0,0,0.8067375090991873,0.8145845359844367,0.7849887868646236,0.7532826575070709
118,KEBUN BAHRU,4762,4006,4467,3847,1,0,1,0,0.3425816963093228,0.6355212142391475,0.3414089722370882,0.6385939798700403
119,KEMBANGAN,7385,7318,6252,6239,1,1,1,1,0.2814144967758495,0.07780964934990614,0.2578191180327917,0.09024715623344946
120,KENT RIDGE,2565,2723,1619,1568,0,0,0,0,0.7875468104602434,0.7171647767000224,0.7511765986177612,0.9156477566067998
121,KHATIB,7385,7318,6252,6239,1,1,1,1,0.7421778836229542,0.35607861396973095,0.7275087658613791,0.33879693728602606
122,KIAN TECK,2797,1826,2289,1577,0,0,0,0,0.40651708121683433,0.6115443255068745,0.40487475744915385,0.577207921474982
123,KIM KEAT,1895,3119,1723,2952,0,0,0,0,0.865955043642778,0.2943072496686736,0.8758241082798787,0.19490180658317094
124,KOVAN,7385,7318,6252,6239,1,1,1,1,0.14776304419092498,0.14457803705606567,0.14176734324538842,0.15517487253667736
125,KRANJI,2882,2436,3179,2421,0,0,0,0,0.99710705114256,0.9987501276353343,0.9988365906911829,0.3313425889474683
126,LAKESIDE,6385,6483,6113,6106,1,1,1,1,0.5721422861994339,0.3724492884506473,0.46012108064564616,0.3052915220185988
127,LAVENDER,7385,7318,6252,6239,1,1,1,1,0.41081661587840995,0.2541890293692371,0.3701545883886176,0.2766058429127609
128,LEEDON PARK,6385,6396,5501,5678,1,1,1,1,0.4850130888911481,0.5050702541270782,0.5589819234558558,0.6043657915897914
129,LEONIE HILL,2182,1914,1902,1663,0,0,0,0,0.8867231651442914,0.9868159752686545,0.8757763307439745,0.9990958956641882
130,LIM CHU KANG,476,587,696,670,0,0,0,0,0.9537122374207436,0.9582126143361709,0.9383007693269794,0.9754949699769389
131,LITTLE INDIA,1487,1390,1611,1620,0,0,0,0,0.6766262424972238,0.8033018495661753,0.7856136932775475,0.8021337755750354
132,LIU FANG,1104,1131,908,872,0,0,0,0,0.517937781795428,0.4322845180276549,0.4679485398606048,0.3639978766681832
133,LORONG 8 TOA PAYOH,4254,3856,3919,3545,0,0,0,0,0.7087519043086993,0.953023021561859,0.6682093364946039,0.9377604587951406
134,LORONG AH SOO,5789,6085,5501,5684,1,1,1,1,0.24999152210735254,0.2846233982430702,0.19928744197733128,0.3108018586481476
135,LORONG CHUAN,6133,6396,5321,5279,1,1,1,1,0.24128056218311836,0.24229320500915014,0.2276051042846444,0.21077457695339782
136,LORONG HALUS,360,241,325,176,0,0,0,0,0.19573420016725723,0.9823702633201367,0.10333461428436935,0.9744340038993538
137,LOWER SELETAR,2673,4076,2478,3958,0,0,0,0,0.9864221175977956,0.2836238300793006,0.968125673655447,0.2500784246728084
138,LOYANG EAST,1311,1849,981,1759,0,0,0,0,0.8989077983117949,0.4290281607371811,0.8024210594023425,0.38052200480260795
139,LOYANG WEST,2619,1534,2106,962,0,0,0,0,0.537819868621895,0.9048188288808606,0.5462351600202064,0.9862581522582066
140,MACKENZIE,2384,2782,2626,2907,0,0,0,0,0.49951975805655074,0.9363607931961708,0.5008533790815989,0.9919003925599931
141,MACPHERSON,7385,7318,6252,6239,1,1,1,1,0.23054564361201926,0.2507913507106682,0.1981123911093888,0.39557424409668435
142,MALCOLM,4711,4445,4136,3837,0,0,0,0,0.6714863760943671,0.618086477401185,0.6507435456346248,0.6494053387761418
143,MANDAI EAST,2143,1494,2148,1543,0,0,0,0,0.8542726763776796,0.9471967921376496,0.7795218863705756,0.9455065759939202
144,MANDAI ESTATE,1171,766,1150,709,0,0,0,0,0.8696741489363455,0.7533252019593344,0.82543917220768,0.79693770226014
145,MANDAI WEST,652,444,593,381,0,0,0,0,0.5969430056487094,0.9998725685271748,0.7839304025126881,0.9999955731051078
146,MARGARET DRIVE,4218,4445,3843,4058,0,0,0,0,0.8857692112740836,0.8801192364073516,0.888196436580022,0.8268540119347993
147,MARINA CENTRE,7385,7318,6252,6171,1,1,1,1,0.322919441372786,0.3428032911505282,0.3647974676583497,0.40176144341174586
148,MARINA SOUTH,200,182,259,228,0,0,0,0,0.39531312524491763,0.976596116490855,0.3142075936768697,0.9997220065915486
149,MARINE PARADE,6317,6527,5904,6106,1,1,1,1,0.6742924137750225,0.5993026991299906,0.6245434388476871,0.5791438417408522
150,MARITIME SQUARE,7385,7318,6252,6239,1,1,1,1,0.5374399722291611,0.5892008042562343,0.4813721006922108,0.5444399423575192
151,MARYMOUNT,5789,6396,5300,5684,1,1,1,1,0.6080947366087439,0.6085324482591103,0.5463772539479493,0.6362920513490972
152,MATILDA,7385,7318,6252,6239,1,1,1,1,0.24393609772301272,0.2171471007092388,0.2767237496554398,0.2509180720997318
153,MAXWELL,805,483,876,502,0,0,0,0,0.4643176901630861,0.9959483755609251,0.35504392961185643,0.9928582948972051
154,MEI CHIN,7220,7231,6252,6171,1,1,1,1,0.6495828004548078,0.3236650087082359,0.6694255016929338,0.49795157531185225
155,MIDVIEW,3577,3887,3235,3544,0,0,0,0,0.53681481516085,0.5410035788735453,0.4020354220516664,0.4087991124395981
156,MONK'S HILL,732,528,576,432,0,0,0,0,0.9995365736862626,0.5495529874743472,0.9909410771747917,0.49777429959389397
157,MOULMEIN,7385,7318,6252,6239,1,1,1,1,0.27594413973061127,0.2526024474025876,0.2843739073888892,0.27391610130131205
158,MOUNT PLEASANT,3057,2921,2461,2230,0,0,0,0,0.9198223237050244,0.6732097643584972,0.8687442201733746,0.7819802314844467
159,MOUNTBATTEN,3715,4237,3390,3814,0,0,0,0,0.5038006333412537,0.47737364898502216,0.43992845461410424,0.5226964383770074
160,NASSIM,6017,6527,5398,5760,1,1,1,1,0.5197696274334807,0.4208111897464955,0.5214611062183012,0.4384819196719002
161,NATIONAL UNIVERSITY OF S'PORE,7385,7318,5501,5445,1,1,1,1,0.2288046105297321,0.28568309585382906,0.33834758299302115,0.29602029584027895
162,NATURE RESERVE,5974,6221,5321,5400,1,1,1,1,0.252415934570465,0.5106903303444565,0.5220931002369875,0.5127715779836902
163,NEE SOON,1626,1366,1524,1178,0,0,0,0,0.7909526771352652,0.9349708269434336,0.7711611802700802,0.9737283145514045
164,NEWTON CIRCUS,7385,7318,6252,6239,1,1,1,1,0.18830649640710087,0.22568087898613814,0.18336866580561073,0.19070839067728054
165,NORTH COAST,4607,4158,4507,4173,0,0,1,1,0.860107739917765,0.6942092620945755,0.8537819445036419,0.5499847574360683
166,NORTHLAND,2673,3387,2444,3119,0,0,0,0,0.7769217692222816,0.8403469581822127,0.7637099807035664,0.8088911040044766
167,NORTHSHORE,2439,2482,2530,2683,0,0,0,0,0.02497318460688051,0.025728567953736903,0.024504304180729578,0.028470765914399444
168,ONE NORTH,7385,7318,6252,6171,1,1,1,1,0.42644139452752916,0.33530783260263375,0.6349028339013639,0.4913601401683556
169,ONE TREE HILL,2661,2789,2506,2645,0,0,0,0,0.9779394494518161,0.8580737198632263,0.9721021244246747,0.9053295199161036
170,ORANGE GROVE,808,458,850,413,0,0,0,0,0.3631538262638252,0.8059469236262804,0.29513291380522744,0.7352144264749981
171,OXLEY,1055,1176,1114,1255,0,0,0,0,0.9357340578272356,0.9691793106117323,0.9118105018846333,0.86417528884828
172,PANDAN,1983,1385,1304,948,0,0,0,0,0.6376127110935317,0.5228967127287433,0.7014930033876979,0.3228156183036254
173,PANG SUA,508,492,301,283,0,0,0,0,0.914891542072788,0.9989480137783907,0.9536518221880843,0.9996349529626211
174,PASIR PANJANG 1,6385,6396,5501,5400,1,1,1,1,0.5042890587012553,0.8240883888902409,0.5165582699754856,0.8073110365472423
175,PASIR PANJANG 2,3730,4438,2433,2933,0,0,0,0,0.5841900937421357,0.9355574472790124,0.5767558908114963,0.97582379659419
176,PASIR RIS CENTRAL,7385,7318,6252,6239,1,1,1,1,0.36379280727692465,0.5006839515396561,0.36049753314196636,0.5099182869761096
177,PASIR RIS DRIVE,6347,6527,5904,5925,1,1,1,1,0.508687409105164,0.28925082007613295,0.5083680787832608,0.28851276514378954
178,PASIR RIS PARK,1741,2566,1716,2694,0,0,0,0,0.07278027330942032,0.7316563970624269,0.06850350568563374,0.6030196268061113
179,PASIR RIS WAFER FAB PARK,2154,904,1995,810,0,0,0,0,0.6756180660970011,0.3437453386762899,0.6351074014968091,0.4273891424700503
180,PASIR RIS WEST,5286,5320,4858,4867,1,1,1,1,0.3814162807390307,0.4649015946322033,0.4147110139162775,0.5096238568107656
181,PATERSON,2345,3288,2859,3540,0,0,0,0,0.6093420555277091,0.9366258355631296,0.6506750176134003,0.9803801536895401
182,PAYA LEBAR EAST,738,831,562,631,0,0,0,0,0.0009628635086426562,0.878443929633893,0.006613158790384278,0.8541321726158827
183,PAYA LEBAR NORTH,2061,1777,2112,1770,0,0,0,0,0.31143935432614034,0.680294561836681,0.2774242929168415,0.5170966790531646
184,PAYA LEBAR WEST,624,476,365,285,0,0,0,0,0.34820781817235624,0.8738007694207072,0.3784510236420387,0.837035981015392
185,PEARL'S HILL,4397,4645,4154,4504,0,1,0,1,0.7782164352620603,0.8402995397292946,0.7831151107264728,0.8215478455044581
186,PEI CHUN,1487,2555,1385,2325,0,0,0,0,0.5816797704572116,0.9819736742792808,0.5485834359075237,0.9725676073514926
187,PENG SIANG,4584,3023,4301,2839,0,0,0,0,0.7878988185297866,0.6498750816770443,0.7604996094775867,0.6216740600465326
188,PENJURU CRESCENT,828,1131,653,887,0,0,0,0,0.5284793449153232,0.6006537367823508,0.5982788589405896,0.2927880241400776
189,PEOPLE'S PARK,6610,6655,5773,6106,1,1,1,1,0.763920693463402,0.36997470250326747,0.794660463081798,0.36277457545601616
190,PHILLIP,649,69,322,22,0,0,0,0,0.6622690259303308,0.9721977463082435,0.7184327778114592,0.8030909760146977
191,PIONEER SECTOR,303,424,269,367,0,0,0,0,0.16784810276667878,0.05375590046772425,0.10689943400912968,0.04376772325362825
192,PLAB,678,1178,404,850,0,0,0,0,0.8434423890096427,0.5212537069055718,0.8132128178233993,0.8001541959241985
193,PORT,5678,5374,4464,4298,1,1,1,1,0.32910352314111574,0.7278413994749666,0.3605107779345039,0.678287648803293
194,POTONG PASIR,7385,7066,6252,6106,1,1,1,1,0.36499386724293453,0.5253872222493766,0.35509455423267716,0.5515797533070473
195,PUNGGOL FIELD,7385,7318,6252,6239,1,1,1,1,0.3152081214807489,0.3337937003899975,0.2866118980744229,0.3690419327216146
196,PUNGGOL TOWN CENTRE,5789,5930,5501,5683,1,1,1,1,0.18832179421580278,0.1715173504591214,0.1974945380979791,0.1934544673698976
197,QUEENSWAY,3028,3641,2506,3502,0,0,0,0,0.9419292698844899,0.6040873997863256,0.7698425471992699,0.9780921344263723
198,RAFFLES PLACE,7385,7318,6252,6171,1,1,1,1,0.09178127022807066,0.06764131997436154,0.11542202807807442,0.11534918810387797
199,REDHILL,7385,7318,6252,6171,1,1,1,1,0.5937383763195849,0.4171327527252145,0.5871319779627019,0.4180535750904831
