ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
35,SELEGIE,0.17484706795846464,0.14103235839506098,0.1744935976109739,0.14089207585808589,0.11214496967426142,0.14420728166371463
36,GOODWOOD PARK,0.12755479870768874,0.10343474816881283,0.14987234123517074,0.1136627216108376,0.10939427080610006,0.11351882829176256
37,INSTITUTION HILL,0.15135025062718813,0.11110728333715959,0.15881181434481423,0.09951542542186166,0.07576575685009419,0.09759685308680886
38,ROCHOR CANAL,0.16496422300505334,0.14566311294206047,0.15885699695897507,0.15702306567830993,0.12846567460241978,0.1552077990465783
39,CLIFFORD PIER,0.21519757640784543,0.17368388463319773,0.21190871376750275,0.20609363571920686,0.16636229884552797,0.20533168983929942
40,ONE TREE HILL,0.19420100124169185,0.1350378688741828,0.20589314006663711,0.1891548013114297,0.13469468976815469,0.20155411388466923
41,KAMPONG GLAM,0.1742175570063428,0.1366833974766811,0.17004827865079997,0.17579568339061313,0.15461530349355423,0.17499331336117666
42,ANSON,0.17940041627237466,0.1484176782801728,0.1884749698667108,0.1685390015571597,0.1252794923336486,0.2001504264225018
43,LEONIE HILL,0.1259316521732671,0.08076171859947638,0.12255703836452472,0.16341767151475764,0.1350008414255561,0.16213683573652168
44,PATERSON,0.26379232099123656,0.1313104697836117,0.17173925661400175,0.14229951629846033,0.11684020647153011,0.1414405730945876
45,ORANGE GROVE,0.0770354341912111,0.05394822757710224,0.10486007723016037,0.05599526430958731,0.059802581575156555,0.0536238254697296
46,STRAITS VIEW,0.09119579569182626,0.08931610069700169,0.10426867356287611,0.1472685091477066,0.14755022602192827,0.16999707121551083
47,LITTLE INDIA,0.12579654312271596,0.10040212923166779,0.12300690795895305,0.14639845304232166,0.12116673505992384,0.14305162008660882
48,PHILLIP,0.0,0.0,0.0,0.08258230500899719,0.02265865740193063,0.09781434561897093
49,OXLEY,0.09903336402031082,0.07126726586846638,0.0902870210251392,0.1282869537821967,0.10377752773108599,0.13167010129060291
50,MONK'S HILL,0.06821621976846313,0.05844054477496767,0.08293499157398787,0.07363625260750181,0.054468364998321445,0.07717699703839116
51,TANGLIN,0.06735107469794127,0.06104589034239374,0.0579124837160496,0.09829446324938511,0.07355508028844981,0.09155871097263713
52,MAXWELL,0.09372882079855802,0.06919634179699968,0.10801556999565962,0.09437575731984348,0.08422671237714778,0.09504394285831387
53,ISTANA NEGARA,0.09360993527433305,0.07510147453886411,0.059866509348270015,0.0550512980918521,0.059910046679360875,0.04942759299153022
54,MARINA SOUTH,0.0,0.0,0.0,0.0,0.0,0.0
